ID,Word,Word_Position,Similarity,Model
CAF-657,bluejay,2,0.7511122226715088,word2vec
CAF-657,bluejay,3,0.6511026620864868,word2vec
CAF-657,bluejay,4,0.7184138298034668,word2vec
CAF-657,bluejay,5,0.5411568284034729,word2vec
CAF-657,bluejay,6,0.5132167339324951,word2vec
CAF-657,bluejay,7,0.40373265743255615,word2vec
CAF-657,bluejay,8,0.5851773619651794,word2vec
CAF-657,bluejay,9,0.6466343402862549,word2vec
CAF-657,bluejay,10,0.6911097168922424,word2vec
CAF-657,bluejay,11,0.0,word2vec
CAF-657,bluejay,12,0.5403761267662048,word2vec
CAF-657,bluejay,13,0.5320589542388916,word2vec
CAF-657,bluejay,14,0.4261523485183716,word2vec
CAF-657,bluejay,15,0.5091343522071838,word2vec
CAF-657,bluejay,16,0.7390968799591064,word2vec
CAF-657,bluejay,17,0.5996960401535034,word2vec
CAF-657,bluejay,18,0.6423823237419128,word2vec
CAF-657,bluejay,19,0.7164338827133179,word2vec
CAF-657,bluejay,20,0.6654841899871826,word2vec
CAF-657,bluejay,21,0.7364721298217773,word2vec
CAF-657,bluejay,22,0.0,word2vec
CAF-657,bluejay,23,0.0,word2vec
CAF-657,bluejay,24,0.7166844606399536,word2vec
CAF-657,bluejay,25,0.0,word2vec
CAF-657,bluejay,26,0.6747044324874878,word2vec
CAF-657,bluejay,27,0.7400809526443481,word2vec
CAF-657,bluejay,28,0.7617427110671997,word2vec
CAF-657,bluejay,29,0.0,word2vec
CAJ-663,tiger,2,0.0,word2vec
CAJ-663,tiger,3,0.629486083984375,word2vec
CAJ-663,tiger,4,0.0,word2vec
CAJ-663,tiger,5,0.38756608963012695,word2vec
CAJ-663,tiger,6,0.5494329929351807,word2vec
CAJ-663,tiger,7,0.5262541174888611,word2vec
CAJ-663,tiger,8,0.0,word2vec
CAJ-663,tiger,9,0.6725165843963623,word2vec
CAJ-663,tiger,10,0.5797491669654846,word2vec
CAJ-663,tiger,11,0.5728311538696289,word2vec
CAJ-663,tiger,12,0.5789880752563477,word2vec
CAJ-663,tiger,13,0.5605661869049072,word2vec
CAJ-663,tiger,14,0.614727258682251,word2vec
CAJ-663,tiger,15,0.6961023211479187,word2vec
CAJ-663,tiger,16,0.5635495185852051,word2vec
CAJ-663,tiger,17,0.53080815076828,word2vec
CAJ-663,tiger,18,0.0,word2vec
CAJ-663,tiger,19,0.5013608932495117,word2vec
CAJ-663,tiger,20,0.529012143611908,word2vec
CAM-666,horse,2,0.874578595161438,word2vec
CAM-666,horse,3,0.0,word2vec
CAM-666,horse,4,0.0,word2vec
CAM-666,horse,5,0.7064537405967712,word2vec
CAM-666,horse,6,0.0,word2vec
CAM-666,horse,7,0.48569822311401367,word2vec
CAM-666,horse,8,0.3653431534767151,word2vec
CAM-666,horse,9,0.5482908487319946,word2vec
CAM-666,horse,10,0.5232688784599304,word2vec
CAM-666,horse,11,0.7113120555877686,word2vec
CAM-666,horse,12,0.613396406173706,word2vec
CAM-666,horse,13,0.6048776507377625,word2vec
CAM-666,horse,14,0.6181310415267944,word2vec
CAM-666,horse,15,0.7996427416801453,word2vec
CAM-666,horse,16,0.7624123692512512,word2vec
CAM-666,horse,17,0.6608697772026062,word2vec
CAM-666,horse,18,0.6968268156051636,word2vec
CAM-666,horse,19,0.0,word2vec
